[2026-07-11T07:34:03.243Z] GET http://localhost:5199/ → 200 (7ms, 651B)
[2026-07-11T07:34:03.256Z] GET http://localhost:5199/@vite/client → 200 (18ms, 209711B)
[2026-07-11T07:34:03.256Z] GET http://localhost:5199/src/main.tsx?t=1783755087289 → 200 (15ms, 3837B)
[2026-07-11T07:34:03.261Z] GET http://localhost:5199/@react-refresh → 200 (14ms, 111894B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/node_modules/.vite/deps/react.js?v=ddcd2adb → 200 (6ms, 221736B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/node_modules/.vite/deps/react-dom_client.js?v=c3e69781 → 200 (5ms, 2334B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/node_modules/.vite/deps/recoil.js?v=959cf594 → 200 (26ms, 733714B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/node_modules/.vite/deps/@tanstack_react-query.js?v=22d1cecb → pending (?ms, ?B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/node_modules/.vite/deps/react-router-dom.js?v=24772612 → pending (?ms, ?B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/src/app/providers/ThemeProvider.tsx → 200 (6ms, 3718B)
[2026-07-11T07:34:03.272Z] GET http://localhost:5199/src/app/router.tsx?t=1783755074283 → 200 (6ms, 3722B)
[2026-07-11T07:34:03.273Z] GET http://localhost:5199/src/index.css?t=1783755087289 → 200 (23ms, 68998B)
[2026-07-11T07:34:03.273Z] GET http://localhost:5199/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=ddcd2adb → 200 (17ms, 105968B)
[2026-07-11T07:34:03.274Z] GET http://localhost:5199/node_modules/vite/dist/client/env.mjs → 200 (17ms, 3478B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/node_modules/.vite/deps/rolldown-runtime-B-1-B7_t.js?v=8a630107 → 200 (18ms, 7626B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/node_modules/.vite/deps/react-dom-DZQ9hRBr.js?v=8a630107 → pending (?ms, ?B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/src/app/layout/AppShell.tsx?t=1783755055417 → pending (?ms, ?B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/src/app/routes/ReviewLoopPage.tsx?t=1783754722278 → pending (?ms, ?B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/src/app/routes/SettingsPage.tsx → pending (?ms, ?B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/src/app/routes/NotFound.tsx?t=1783755074283 → pending (?ms, ?B)
[2026-07-11T07:34:03.278Z] GET http://localhost:5199/src/lib/store.ts → pending (?ms, ?B)
[2026-07-11T07:34:03.324Z] GET http://localhost:5199/node_modules/.vite/deps/lucide-react.js?v=84b54169 → 200 (61ms, 4113733B)
[2026-07-11T07:34:03.324Z] GET http://localhost:5199/src/lib/cn.ts → 200 (42ms, 917B)
[2026-07-11T07:34:03.324Z] GET http://localhost:5199/src/components/sidebar/Sidebar.tsx?t=1783755055417 → 200 (43ms, 70187B)
[2026-07-11T07:34:03.324Z] GET http://localhost:5199/src/components/ui/Toaster.tsx → 200 (52ms, 7470B)
[2026-07-11T07:34:03.324Z] GET http://localhost:5199/src/lib/platform.ts → 200 (50ms, 1928B)
[2026-07-11T07:34:03.341Z] GET http://localhost:5199/node_modules/.vite/deps/react_jsx-runtime.js?v=ddcd2adb → 200 (36ms, 107294B)
[2026-07-11T07:34:03.342Z] GET http://localhost:5199/src/components/settings/RemoteComputeCard.tsx → 200 (32ms, 5590B)
[2026-07-11T07:34:03.342Z] GET http://localhost:5199/src/components/settings/ModalCard.tsx → 200 (34ms, 5644B)
[2026-07-11T07:34:03.342Z] GET http://localhost:5199/src/components/settings/DataFlowCard.tsx → 200 (36ms, 12836B)
[2026-07-11T07:34:03.343Z] GET http://localhost:5199/src/api/reviewLoopQueries.ts?t=1783754580579 → 200 (35ms, 4110B)
[2026-07-11T07:34:03.343Z] GET http://localhost:5199/src/components/review/ManuscriptPane.tsx → 200 (35ms, 15196B)
[2026-07-11T07:34:03.366Z] GET http://localhost:5199/node_modules/.vite/deps/clsx.js?v=76063376 → 200 (13ms, 1992B)
[2026-07-11T07:34:03.366Z] GET http://localhost:5199/node_modules/.vite/deps/tailwind-merge.js?v=0b4ef53a → 200 (14ms, 286814B)
[2026-07-11T07:34:03.367Z] GET http://localhost:5199/src/components/sidebar/StatusPills.tsx?t=1783755055417 → 200 (13ms, 6065B)
[2026-07-11T07:34:03.378Z] GET http://localhost:5199/src/lib/toast.ts → 200 (1ms, 3041B)
[2026-07-11T07:34:03.378Z] GET http://localhost:5199/src/api/reviewLoop.ts?t=1783754580579 → 200 (2ms, 41272B)
[2026-07-11T07:34:03.452Z] GET http://localhost:5199/node_modules/@fontsource/source-serif-4/files/source-serif-4-latin-600-normal.woff2 → 200 (5ms, 21532B)
[2026-07-11T07:34:03.452Z] GET http://localhost:5199/node_modules/@fontsource/inter/files/inter-latin-400-normal.woff2 → 200 (5ms, 23664B)
[2026-07-11T07:34:03.452Z] GET http://localhost:5199/node_modules/@fontsource/inter/files/inter-latin-500-normal.woff2 → 200 (5ms, 24272B)
[2026-07-11T07:34:03.615Z] GET http://localhost:5199/node_modules/@fontsource/jetbrains-mono/files/jetbrains-mono-latin-400-normal.woff2 → 200 (2ms, 21168B)
[2026-07-11T07:34:05.626Z] GET http://localhost:5199/review/lp_demo → 200 (2ms, 651B)
[2026-07-11T07:34:05.631Z] GET http://localhost:5199/@vite/client → 304 (?ms, ?B)
[2026-07-11T07:34:05.631Z] GET http://localhost:5199/src/main.tsx?t=1783755087289 → 304 (?ms, ?B)
[2026-07-11T07:34:05.632Z] GET http://localhost:5199/@react-refresh → 304 (7ms, ?B)
[2026-07-11T07:34:05.632Z] GET http://localhost:5199/node_modules/vite/dist/client/env.mjs → 304 (7ms, ?B)
[2026-07-11T07:34:05.633Z] GET http://localhost:5199/node_modules/.vite/deps/react.js?v=ddcd2adb → 200 (?ms, -311B)
[2026-07-11T07:34:05.633Z] GET http://localhost:5199/node_modules/.vite/deps/react-dom_client.js?v=c3e69781 → 200 (?ms, -308B)
[2026-07-11T07:34:05.633Z] GET http://localhost:5199/node_modules/.vite/deps/recoil.js?v=959cf594 → 200 (?ms, -312B)
[2026-07-11T07:34:05.633Z] GET http://localhost:5199/node_modules/.vite/deps/@tanstack_react-query.js?v=22d1cecb → 200 (?ms, -312B)
[2026-07-11T07:34:05.634Z] GET http://localhost:5199/node_modules/.vite/deps/react-router-dom.js?v=24772612 → 200 (?ms, -313B)
[2026-07-11T07:34:05.634Z] GET http://localhost:5199/src/app/providers/ThemeProvider.tsx → 304 (6ms, ?B)
[2026-07-11T07:34:05.634Z] GET http://localhost:5199/src/app/router.tsx?t=1783755074283 → 304 (6ms, ?B)
[2026-07-11T07:34:05.634Z] GET http://localhost:5199/src/index.css?t=1783755087289 → 304 (6ms, ?B)
